ano,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,total_recomendacoes,total_aeronaves_envolvidas,total_fatores,fator_humano,fator_operacional,fator_material,fator_metereologico,fator_outro,percentual_operacional,ratio_operacional_humano,total_ocorrencias_fator,total_ocorrencias,ratio_ocorrencias,movimentação,ocorrencias_corrigidas,ratio_ocorrencias_corrigido,fatores_corrigidos
2010,5355411,5355411,5355411,5355411,5355411,365,129,636,202,398,3,19,14,0.6257861635220126,0.6633333333333333,129,552,0.23369565217391305,0.9036360542396733,610.8654003015155,0.2111758170234019,753.3013618430131
2011,6672814,6672814,6672814,6672814,6672814,366,151,666,212,413,6,20,15,0.6201201201201201,0.6608,149,576,0.2586805555555556,0.9669233210710271,595.7039068640779,0.2501242618742761,666.0
2012,6477886,6477886,6477886,6477886,6477886,161,140,525,153,336,6,23,7,0.64,0.6871165644171779,140,647,0.21638330757341576,1.0,647.0,0.21638330757341576,606.8639903724625
2013,6876682,6876682,6876682,6876682,6876682,135,141,468,141,308,2,11,6,0.6581196581196581,0.6859688195991092,140,654,0.21406727828746178,0.9759250265768281,670.1334448753528,0.20891361425192037,560.3184597438709
2014,7460934,7460934,7460934,7460934,7460934,112,145,501,148,339,0,13,1,0.6766467065868264,0.6960985626283368,144,567,0.25396825396825395,0.9834200744915986,576.5593104179042,0.24975747923596153,501.73574614204847
2015,5878844,5878844,5878844,5878844,5878844,123,109,442,155,273,3,7,4,0.6176470588235294,0.6378504672897196,109,472,0.2309322033898305,0.9572887428969125,493.0591772881928,0.22106879867746496,500.09284172990647
2016,3011349,3011349,3011349,3011349,3011349,60,48,166,54,107,1,2,2,0.6445783132530121,0.6645962732919255,47,403,0.11662531017369727,0.8755085925370737,460.30387758065876,0.10210646116437336,406.6405494583635
2017,3296871,3296871,3296871,3296871,3296871,55,46,176,75,93,0,5,3,0.5284090909090909,0.5535714285714286,46,434,0.10599078341013825,0.8594200515475744,504.99170832526863,0.0910906045419088,483.2756387034306
2018,1945050,1945050,1945050,1945050,1945050,44,25,92,32,57,1,2,0,0.6195652173913043,0.6404494382022472,25,443,0.056433408577878104,0.8869481006171942,499.46552644031004,0.05005350454950306,459.7366817677078
2019,1177719,1177719,1177719,1177719,1177719,21,15,45,14,29,0,1,1,0.6444444444444445,0.6744186046511628,15,497,0.030181086519114688,0.8676712962608889,572.7975584092198,0.02618726246260228,429.81169950148103
