codigo_ocorrencia3,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_meteorologico,fator_outro
39115,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO",6,2,4,0,0,0
39156,"MANUTENÇÃO DE AERONAVE,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",3,0,3,0,0,0
39235,"PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO",2,0,2,0,0,0
39275,"APLICAÇÃO DE COMANDOS,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,ESTRESSE,FADIGA,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,MANUTENÇÃO DE AERONAVE,MEDICAMENTO,ORGANIZAÇÃO DO TRABALHO,PESSOAL DE APOIO,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",13,7,6,0,0,0
39315,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,CULTURA ORGANIZACIONAL,MOTIVAÇÃO,PESSOAL DE APOIO,PLANEJAMENTO DE VOO,PLANEJAMENTO GERENCIAL,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",9,4,4,0,1,0
39316,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",6,0,5,0,1,0
39318,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,COORDENAÇÃO DE CABINE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",9,4,4,0,1,0
39319,"ANSIEDADE,ATENÇÃO,ATITUDE,ESQUECIMENTO DO PILOTO,MOTIVAÇÃO,PLANEJAMENTO DE VOO",6,4,2,0,0,0
39320,"JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",3,0,3,0,0,0
39321,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0
39322,"ATITUDE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",12,7,5,0,0,0
39385,"DESVIO DE NAVEGAÇÃO,ESQUECIMENTO DO PILOTO",2,0,2,0,0,0
39405,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM",3,0,2,0,1,0
39487,ESQUECIMENTO DO PILOTO,1,0,1,0,0,0
39507,"PESSOAL DE APOIO,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
39527,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO",4,1,3,0,0,0
39687,"FABRICAÇÃO,MANUTENÇÃO DE AERONAVE",2,0,1,1,0,0
39707,"INDISCIPLINA DE VOO,MANUTENÇÃO DE AERONAVE,PLANEJAMENTO DE VOO",3,0,3,0,0,0
39709,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
39887,"JULGAMENTO DE PILOTAGEM,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",3,1,2,0,0,0
39913,"COORDENAÇÃO DE CABINE,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0
39916,"COORDENAÇÃO DE CABINE,ESQUECIMENTO DO PILOTO,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE",4,0,4,0,0,0
39930,"DIETA INADEQUADA,FADIGA,INSÔNIA,MEDICAMENTO",4,4,0,0,0,0
39933,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",4,1,2,0,1,0
39969,FABRICAÇÃO,1,0,0,1,0,0
39992,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",4,0,3,0,1,0
