,Unnamed: 0,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ano,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_metereologico,fator_outro,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
0,0,39115,39115,39115,39115,39115,ACIDENTE,-13.3805555556,-44.6172222222,CORRENTINA,BA,BRASIL,SNTY,07/02/2010,17:40:00,SIM,FINALIZADA,A-031/CENIPA/2011,SIM,2011-07-21,2,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO",6,2,4,0,0,0,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711A,P28R,PISTÃO,MONOMOTOR,4.0,1979.0,BRASIL,BRASIL,PARTICULAR,BRIGADEIRO ARARIPE MACEDO,CORRENTINA,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
1,1,39156,39156,39156,39156,39156,INCIDENTE GRAVE,-15.2402777778,-59.3541666667,CASCAVEL,PR,BRASIL,SBCA,10/01/2010,23:15:00,SIM,FINALIZADA,I-004/CENIPA/2011,SIM,2011-06-30,2,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",3,0,3,0,0,0,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2008.0,BRASIL,BRASIL,REGULAR,AFONSO PENA,ADALBERTO MENDES DA SILVA,ARREMETIDA NO AR,REGULAR,LEVE,0
2,2,39235,39235,39235,39235,39235,ACIDENTE,-18.0583333333,-50.1458333333,ITUMBIARA,GO,BRASIL,****,06/02/2010,17:20:00,SIM,FINALIZADA,A-067/CENIPA/2011,SIM,2011-08-29,3,1,NÃO,2010,"PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO",2,0,2,0,0,0,AGRÍCOLA,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1.0,1976.0,BRASIL,BRASIL,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,DESTRUÍDA,1
3,3,39275,39275,39275,39275,39275,ACIDENTE,-23.5758333333,-46.7022222222,SÃO PAULO,SP,BRASIL,****,10/02/2010,09:03:00,SIM,FINALIZADA,A-009/CENIPA/2014,SIM,2016-04-22,3,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,ESTRESSE,FADIGA,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,MANUTENÇÃO DE AERONAVE,MEDICAMENTO,ORGANIZAÇÃO DO TRABALHO,PESSOAL DE APOIO,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",13,7,6,0,0,0,PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,***,TURBOEIXO,MONOMOTOR,6.0,1994.0,BRASIL,BRASIL,PARTICULAR,CAMPO DE MARTE,CAMPO DE MARTE,CRUZEIRO,PRIVADA,DESTRUÍDA,1
4,4,39315,39315,39315,39315,39315,ACIDENTE,-6.615,-64.1116666667,CANUTAMA,AM,BRASIL,****,15/01/2010,21:22:00,***,FINALIZADA,A-519/CENIPA/2016,SIM,2017-02-08,0,1,NÃO,2010,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,CULTURA ORGANIZACIONAL,MOTIVAÇÃO,PESSOAL DE APOIO,PLANEJAMENTO DE VOO,PLANEJAMENTO GERENCIAL,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",9,4,4,0,1,0,TÁXI AÉREO,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,6.0,1981.0,BRASIL,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,LÁBREA,CRUZEIRO,TÁXI AÉREO,***,2
5,5,39316,39316,39316,39316,39316,ACIDENTE,-27.1919444444,-49.8313888889,RIO DO OESTE,SC,BRASIL,****,04/02/2010,17:55:00,SIM,FINALIZADA,A-011/CENIPA/2011,SIM,2011-05-18,2,1,NÃO,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",6,0,5,0,1,0,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,2.0,1992.0,BRASIL,BRASIL,INSTRUÇÃO,BLUMENAU,RANCHO SUMIDOR,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
6,6,39318,39318,39318,39318,39318,ACIDENTE,-2.6,-51.8441666667,SENADOR JOSÉ PORFÍRIO,PA,BRASIL,****,25/01/2010,16:20:00,***,FINALIZADA,A-122/CENIPA/2012,SIM,2012-11-19,5,1,NÃO,2010,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,COORDENAÇÃO DE CABINE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",9,4,4,0,1,0,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-110,E110,TURBOÉLICE,BIMOTOR,1.0,1976.0,BRASIL,BRASIL,TÁXI AÉREO,VAL DE CANS / JÚLIO CEZAR RIBEIRO,WILMA REBELO,DESCIDA,TÁXI AÉREO,SUBSTANCIAL,2
7,7,39319,39319,39319,39319,39319,ACIDENTE,-23.4125,-47.5583333333,IPERÓ,SP,BRASIL,****,27/01/2010,11:25:00,SIM,FINALIZADA,A-017/CENIPA/2011,SIM,2011-06-30,3,1,NÃO,2010,"ANSIEDADE,ATENÇÃO,ATITUDE,ESQUECIMENTO DO PILOTO,MOTIVAÇÃO,PLANEJAMENTO DE VOO",6,4,2,0,0,0,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1981.0,BRASIL,BRASIL,PARTICULAR,SOROCABA,FAZENDA SANTA RITA,SUBIDA,PRIVADA,DESTRUÍDA,2
8,8,39320,39320,39320,39320,39320,ACIDENTE,-20.2961111111,-52.7244444444,FAROL,PR,BRASIL,****,19/01/2010,18:30:00,***,FINALIZADA,A-095/CENIPA/2010,SIM,2010-12-06,4,1,NÃO,2010,"JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",3,0,3,0,0,0,AGRÍCOLA,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1.0,1977.0,BRASIL,BRASIL,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
9,9,39321,39321,39321,39321,39321,ACIDENTE,-15.2402777778,-59.3541666667,PONTES E LACERDA,MT,BRASIL,****,23/01/2010,13:00:00,***,FINALIZADA,A-010/CENIPA/2011,SIM,2011-05-18,2,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,210N,C210,PISTÃO,MONOMOTOR,6.0,1981.0,BRASIL,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,DESTRUÍDA,1
