,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ano,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_metereologico,fator_outro
0,39115,39115,39115,39115,39115,ACIDENTE,-13.3805555556,-44.6172222222,CORRENTINA,BA,BRASIL,SNTY,07/02/2010,17:40:00,SIM,FINALIZADA,A-031/CENIPA/2011,SIM,2011-07-21,2,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO",6,2,4,0,0,0
1,39156,39156,39156,39156,39156,INCIDENTE GRAVE,-15.2402777778,-59.3541666667,CASCAVEL,PR,BRASIL,SBCA,10/01/2010,23:15:00,SIM,FINALIZADA,I-004/CENIPA/2011,SIM,2011-06-30,2,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",3,0,3,0,0,0
2,39235,39235,39235,39235,39235,ACIDENTE,-18.0583333333,-50.1458333333,ITUMBIARA,GO,BRASIL,****,06/02/2010,17:20:00,SIM,FINALIZADA,A-067/CENIPA/2011,SIM,2011-08-29,3,1,NÃO,2010,"PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO",2,0,2,0,0,0
3,39275,39275,39275,39275,39275,ACIDENTE,-23.5758333333,-46.7022222222,SÃO PAULO,SP,BRASIL,****,10/02/2010,09:03:00,SIM,FINALIZADA,A-009/CENIPA/2014,SIM,2016-04-22,3,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,ESTRESSE,FADIGA,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,MANUTENÇÃO DE AERONAVE,MEDICAMENTO,ORGANIZAÇÃO DO TRABALHO,PESSOAL DE APOIO,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",13,7,6,0,0,0
4,39315,39315,39315,39315,39315,ACIDENTE,-6.615,-64.1116666667,CANUTAMA,AM,BRASIL,****,15/01/2010,21:22:00,***,FINALIZADA,A-519/CENIPA/2016,SIM,2017-02-08,0,1,NÃO,2010,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,CULTURA ORGANIZACIONAL,MOTIVAÇÃO,PESSOAL DE APOIO,PLANEJAMENTO DE VOO,PLANEJAMENTO GERENCIAL,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",9,4,4,0,1,0
5,39316,39316,39316,39316,39316,ACIDENTE,-27.1919444444,-49.8313888889,RIO DO OESTE,SC,BRASIL,****,04/02/2010,17:55:00,SIM,FINALIZADA,A-011/CENIPA/2011,SIM,2011-05-18,2,1,NÃO,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",6,0,5,0,1,0
6,39318,39318,39318,39318,39318,ACIDENTE,-2.6,-51.8441666667,SENADOR JOSÉ PORFÍRIO,PA,BRASIL,****,25/01/2010,16:20:00,***,FINALIZADA,A-122/CENIPA/2012,SIM,2012-11-19,5,1,NÃO,2010,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,COORDENAÇÃO DE CABINE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",9,4,4,0,1,0
7,39319,39319,39319,39319,39319,ACIDENTE,-23.4125,-47.5583333333,IPERÓ,SP,BRASIL,****,27/01/2010,11:25:00,SIM,FINALIZADA,A-017/CENIPA/2011,SIM,2011-06-30,3,1,NÃO,2010,"ANSIEDADE,ATENÇÃO,ATITUDE,ESQUECIMENTO DO PILOTO,MOTIVAÇÃO,PLANEJAMENTO DE VOO",6,4,2,0,0,0
8,39320,39320,39320,39320,39320,ACIDENTE,-20.2961111111,-52.7244444444,FAROL,PR,BRASIL,****,19/01/2010,18:30:00,***,FINALIZADA,A-095/CENIPA/2010,SIM,2010-12-06,4,1,NÃO,2010,"JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",3,0,3,0,0,0
9,39321,39321,39321,39321,39321,ACIDENTE,-15.2402777778,-59.3541666667,PONTES E LACERDA,MT,BRASIL,****,23/01/2010,13:00:00,***,FINALIZADA,A-010/CENIPA/2011,SIM,2011-05-18,2,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0
